"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000047936",1.006631,-4.036414,2.011243,0.05557164,0.1880346,-4.130259
"ENSG00000229097",0.4172459,0.05483098,2.011126,0.05558481,0.1880505,-4.430852
"ENSG00000216863",0.5061889,1.206888,2.011099,0.05558788,0.1880505,-4.616057
"ENSG00000182050",1.246445,-3.580233,2.010937,0.05560612,0.1880927,-4.104462
"ENSG00000280353",0.6691234,-2.105338,2.010728,0.05562974,0.1881531,-4.140001
"ENSG00000172809",0.2215507,6.749565,2.010557,0.05564901,0.1881988,-5.45495
"ENSG00000250354",1.074077,-3.88625,2.010382,0.05566876,0.1882325,-4.121146
"ENSG00000259370",1.091834,-3.553835,2.010366,0.05567051,0.1882325,-4.102132
"ENSG00000164972",0.8716317,-2.366366,2.009902,0.05572288,0.1883901,-4.115286
"ENSG00000203805",0.8912402,-4.331034,2.009838,0.05573018,0.1883952,-4.15176
"ENSG00000213390",-0.2659188,4.25301,-2.009755,0.0557395,0.1884072,-5.118082
"ENSG00000183785",0.9739739,-1.690004,2.009451,0.05577382,0.1884913,-4.189096
"ENSG00000143067",-0.658368,-0.4898701,-2.009413,0.05577818,0.1884913,-4.348538
"ENSG00000281398",0.5938063,0.03654534,2.009382,0.05578168,0.1884913,-4.430608
